"","primary_key","modelprob"
"1",43231676,0.00240591005460359
"2",44150123,0.0444279575047793
"3",48126804,0.143532014728168
"4",44577506,0.0390259802999954
"5",45463164,0.843860329654173
"6",43608070,0.186283721389795
"7",43571777,0.229301124854089
"8",44385232,0.982448172224442
"9",44990188,0.000245882385716555
"10",45328676,0.000272738241570288
"11",43762656,0.0940942755368408
"12",44169538,0.197164979332954
"13",46910434,0.772644918972477
"14",48515633,0.532637556144743
"15",48823296,0.00242577395281165
"16",48103045,0.320369106427986
"17",45662910,0.207423436674433
"18",43958226,0.14748042431583
"19",43428486,0.090558172354206
"20",43449985,0.0101574108481269
"21",44820747,0.00806756538319152
"22",45616551,0.091448711197227
"23",43765717,0.224500568554719
"24",49099353,0.0484624726622466
"25",46232343,0.000507154285184479
"26",48915174,0.221785456093446
"27",44785484,0.211323929905762
"28",47561182,0.265711241858679
"29",46705349,4.14230764533104e-05
"30",46743861,4.18114505045373e-05
"31",43090890,0.0672300490000944
"32",48934508,0.000962312119280387
"33",49128144,0.00188227280616748
"34",48451881,0.00352356522818094
"35",48959561,0.0220719480794458
"36",45771094,0.00022129695586987
"37",45824268,0.455147569523613
"38",48985732,0.0120993503946942
"39",45676219,0.658488026576252
"40",43290435,0.21064874206029
"41",46867738,0.147508392591942
"42",45962277,0.149949313136073
"43",46901946,0.150599613933928
"44",45171221,0.0635967851483751
"45",44567489,2.22044604925031e-16
"46",45350963,2.22044604925031e-16
"47",44178984,2.22044604925031e-16
"48",49159117,2.22044604925031e-16
"49",48796455,2.22044604925031e-16
"50",45521155,0.218955536790219
"51",43617265,0.697312497114577
"52",43592455,0.950489572409681
"53",45954437,0.0489378769630222
"54",48517511,0.0472892624064032
"55",43381131,0.422421312234942
"56",48827358,0.00287242143590628
"57",49158063,0.169090685367352
"58",45173275,0.00249108801808379
"59",45988759,0.00861661650303546
"60",45988906,0.00975693584586334
"61",46751548,0.0823761534832772
"62",44393871,0.0221897154908916
"63",44355643,0.139828492409241
"64",46750006,0.110717146995292
"65",49158199,0.0316511648540796
"66",45682390,0.0145712602403496
"67",43099460,0.00528729114741548
"68",45530592,0.0039616731975677
"69",48476235,0.000882965652658035
"70",48917881,0.119421089168477
"71",45498913,0.0200082991627033
"72",45525282,0.00289929520877776
"73",45532498,0.40191541864845
"74",43089748,1.58433375418264e-09
"75",44962704,1.56501632508322e-09
"76",46151095,2.38126744064419e-09
"77",49125782,1.52854168897183e-09
"78",44966572,0.00166121784075365
"79",43521765,0.269665529457118
"80",46281445,0.0381133985672433
"81",43542146,0.0464161670143607
"82",45008001,0.00540348034697468
"83",45673569,0.0652250383336947
"84",45981517,0.000108700251431764
"85",46084136,6.31587267811531e-05
"86",44531339,0.0757508965296431
"87",44369909,0.0513145410610264
"88",45165118,0.114587087864512
"89",46002100,0.17263031655111
"90",46252126,0.0671806463354507
"91",46010147,0.926423577689953
"92",45663512,0.14987847646305
"93",48596283,0.37999822111912
"94",48165048,0.30774972442191
"95",48959425,0.489805468188177
"96",45164823,0.152742154409147
"97",48311891,0.480639018907607
"98",47021097,0.667738537603137
"99",45476021,0.00179054244276869
"100",44126880,0.184417253732325
"101",45639017,0.015812219511818
"102",43284657,0.0213184472676675
"103",43522396,0.00614897591528007
"104",48297392,0.0130591737670857
"105",44743328,0.000475794760943984
"106",43763718,0.0063259210755523
"107",48282992,0.275177636260322
"108",43735252,0.528508149889593
"109",44547625,0.321303720772904
"110",44998442,0.0551925823928052
"111",43292473,0.1045823312664
"112",46713094,0.0304626892002593
"113",45294227,0.0242077577615594
"114",43608483,0.0577154207294285
"115",46267616,0.0468621953143863
"116",48469991,0.000153774148334328
"117",47562015,0.801151265024989
"118",48284150,0.0786212969770888
"119",45823596,0.103607657558039
"120",43600221,0.0396287987903117
"121",46906725,0.0273767674061357
"122",46749424,0.0249725346359199
"123",48110484,0.031599508176599
"124",43229613,0.0711030204319452
"125",43550493,0.0875373354093196
"126",43229609,0.0875373354093196
"127",45815633,0.00186521899235513
"128",43607066,0.00479100594601651
"129",44790694,0.106833740368168
